benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
MUSE-Books,hierarchical,target_memory,system_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,hierarchical,target_memory_comm,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory_comm,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory_comm,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory_comm,system_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory_comm,target_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,hierarchical,target_memory_comm,system_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,independent,communication,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,independent,communication,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,independent,communication,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,independent,communication,system_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,independent,communication,target_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,independent,communication,system_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
MUSE-Books,independent,full_inference,target_exact,70,10,0.14285714285714285,0.07948856360443703,0.24338634701505113
MUSE-Books,independent,full_inference,target_positive,70,10,0.14285714285714285,0.07948856360443703,0.24338634701505113
MUSE-Books,independent,full_inference,system_exact,70,10,0.14285714285714285,0.07948856360443703,0.24338634701505113
MUSE-Books,independent,full_inference,system_positive,70,10,0.14285714285714285,0.07948856360443703,0.24338634701505113
MUSE-Books,independent,full_inference,target_positive_content,70,20,0.2857142857142857,0.1932207659180313,0.40050418045366165
MUSE-Books,independent,full_inference,system_positive_content,70,20,0.2857142857142857,0.1932207659180313,0.40050418045366165
MUSE-Books,independent,global_context,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,global_context,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,global_context,system_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,global_context,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,global_context,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,independent,global_context,system_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,independent,none,target_exact,70,5,0.07142857142857142,0.030893761510293508,0.1565561312330923
MUSE-Books,independent,none,target_positive,70,5,0.07142857142857142,0.030893761510293508,0.1565561312330923
MUSE-Books,independent,none,system_exact,70,5,0.07142857142857142,0.030893761510293508,0.1565561312330923
MUSE-Books,independent,none,system_positive,70,5,0.07142857142857142,0.030893761510293508,0.1565561312330923
MUSE-Books,independent,none,target_positive_content,70,40,0.5714285714285714,0.4547762667382278,0.6806487511378745
MUSE-Books,independent,none,system_positive_content,70,40,0.5714285714285714,0.4547762667382278,0.6806487511378745
MUSE-Books,independent,target_context,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,target_context,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,target_context,system_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,target_context,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,target_context,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,independent,target_context,system_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,independent,target_context_comm,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,independent,target_context_comm,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
